release_tag cost_usd cost_month cost_people
cassandra-0.3.0-final 1490521 16.005994 8.273164
cassandra-0.4.0-final 1283453 15.121625 7.540454
cassandra-0.4.1 1288601 15.144645 7.559192
cassandra-0.4.2 1288703 15.145102 7.559564
cassandra-0.5.0 1526902 16.153341 8.397788
cassandra-0.5.1 1545710 16.228663 8.461772
cassandra-0.6.0 2021717 17.971645 9.994212
cassandra-0.6.1 2030427 18.001027 10.020885
cassandra-0.6.10 2107429 18.257455 10.254837
cassandra-0.6.11 2104183 18.246763 10.245041
cassandra-0.6.12 2105824 18.252168 10.249992
cassandra-0.6.13 2107813 18.258718 10.255996
cassandra-0.6.2 2049351 18.064598 10.078689
cassandra-0.6.3 2072957 18.143387 10.150510
cassandra-0.6.4 2055730 18.085946 10.098130
cassandra-0.6.5 2077247 18.157647 10.163529
cassandra-0.6.6 2084049 18.180219 10.184151
cassandra-0.6.7 2086631 18.188774 10.191971
cassandra-0.6.8 2086910 18.189698 10.192816
cassandra-0.6.9 2107045 18.256190 10.253679
cassandra-0.7.0 3067973 21.058027 12.943445
cassandra-0.7.1 3305702 21.663782 13.556432
cassandra-0.7.10 3450493 22.019574 13.921570
cassandra-0.7.2 3310944 21.676831 13.569757
cassandra-0.7.3 3350792 21.775600 13.670782
cassandra-0.7.4 3385629 21.861353 13.758728
cassandra-0.7.5 3422447 21.951391 13.851305
cassandra-0.7.6 3430449 21.970879 13.871374
cassandra-0.7.7 3447491 22.012293 13.914060
cassandra-0.7.8 3451958 22.023127 13.925234
cassandra-0.7.9 3450279 22.019054 13.921033
cassandra-0.8.0 4736360 24.836080 16.942504
cassandra-0.8.1 4034543 23.367697 15.338905
cassandra-0.8.10 4208930 23.746484 15.746655
cassandra-0.8.2 4065365 23.435376 15.411455
cassandra-0.8.3 4105098 23.522151 15.504669
cassandra-0.8.4 4120017 23.554597 15.539579
cassandra-0.8.5 4146904 23.612893 15.602378
cassandra-0.8.6 4202184 23.732015 15.731004
cassandra-0.8.7 4209399 23.747489 15.747743
cassandra-0.8.8 4204240 23.736426 15.735776
cassandra-0.8.9 4206008 23.740218 15.739877
cassandra-1.0.0 4446428 24.247020 16.291794
cassandra-1.0.1 4464949 24.285348 16.333832
cassandra-1.0.10 4624218 24.610964 16.692663
cassandra-1.0.11 4633857 24.630446 16.714228
cassandra-1.0.12 4634183 24.631105 16.714958
cassandra-1.0.2 4479094 24.314556 16.365897
cassandra-1.0.3 4586105 24.533686 16.607229
cassandra-1.0.4 4592553 24.546787 16.621702
cassandra-1.0.5 4592444 24.546567 16.621458
cassandra-1.0.6 4564447 24.489594 16.558560
cassandra-1.0.7 4579332 24.519911 16.592018
cassandra-1.0.8 4613710 24.589698 16.669136
cassandra-1.0.9 4622080 24.606640 16.687878
cassandra-1.1.0 5108553 25.560379 17.756060
cassandra-1.1.1 5255050 25.836475 18.070057
cassandra-1.1.10 5452348 26.200877 18.487735
cassandra-1.1.11 5465387 26.224669 18.515134
cassandra-1.1.12 5466665 26.227000 18.517819
cassandra-1.1.2 5290638 25.902824 18.145831
cassandra-1.1.3 5334956 25.985065 18.239924
cassandra-1.1.4 5335248 25.985605 18.240543
cassandra-1.1.5 5346376 26.006187 18.264121
cassandra-1.1.6 5374256 26.057638 18.323113
cassandra-1.1.7 5431642 26.163023 18.444174
cassandra-1.1.8 5435440 26.169972 18.452168
cassandra-1.1.9 5450339 26.197209 18.483512
cassandra-1.2.0 6466532 27.955626 20.550301
cassandra-1.2.1 6514995 28.035056 20.645653
cassandra-1.2.10 6862166 28.593633 21.321014
cassandra-1.2.11 6968139 28.760633 21.524560
cassandra-1.2.12 6986689 28.789704 21.560069
cassandra-1.2.13 7015997 28.835537 21.616098
cassandra-1.2.14 7028232 28.854635 21.639462
cassandra-1.2.15 7028047 28.854347 21.639109
cassandra-1.2.16 7034627 28.864609 21.651668
cassandra-1.2.17 7072597 28.923714 21.724051
cassandra-1.2.18 7074039 28.925955 21.726797
cassandra-1.2.19 7042871 28.877459 21.667396
cassandra-1.2.2 6596603 28.167986 20.805611
cassandra-1.2.3 6622108 28.209322 20.855450
cassandra-1.2.4 6627306 28.217734 20.865597
cassandra-1.2.5 6658495 28.268123 20.926424
cassandra-1.2.6 6750185 28.415416 21.104622
cassandra-1.2.7 6818825 28.524871 21.237422
cassandra-1.2.8 6821150 28.528568 21.241912
cassandra-1.2.9 6836987 28.553718 21.272475
cassandra-2.0.0 7320508 29.304865 22.193072
cassandra-2.0.1 7514964 29.598268 22.556752
cassandra-2.0.10 8143635 30.515819 23.708781
cassandra-2.0.11 8213485 30.615017 23.834657
cassandra-2.0.12 8289436 30.722288 23.971066
cassandra-2.0.13 8318648 30.763384 24.023405
cassandra-2.0.14 8322300 30.768515 24.029943
cassandra-2.0.15 8403107 30.881702 24.174339
cassandra-2.0.16 8432338 30.922479 24.226442
cassandra-2.0.17 8481676 30.991108 24.314230
cassandra-2.0.2 7662217 29.817331 22.829776
cassandra-2.0.3 7714859 29.895010 22.926894
cassandra-2.0.4 7765958 29.970099 23.020926
cassandra-2.0.5 7804404 30.026393 23.091520
cassandra-2.0.6 7880691 30.137589 23.231206
cassandra-2.0.7 7972669 30.270772 23.398941
cassandra-2.0.8 8028684 30.351414 23.500731
cassandra-2.0.9 8127741 30.493172 23.680080
cassandra-2.1.0 9043502 31.755722 25.300587
cassandra-2.1.1 9299721 32.094649 25.742648
cassandra-2.1.10 10160746 33.192945 27.195418
cassandra-2.1.11 10163605 33.196494 27.200162
cassandra-2.1.12 10261516 33.317656 27.362326
cassandra-2.1.13 10344448 33.419723 27.499222
cassandra-2.1.14 10373630 33.455518 27.547294
cassandra-2.1.15 10419577 33.511749 27.622878
cassandra-2.1.16 10445492 33.543397 27.665453
cassandra-2.1.17 10452047 33.551394 27.676215
cassandra-2.1.18 10456567 33.556908 27.683636
cassandra-2.1.19 10457999 33.558653 27.685986
cassandra-2.1.2 9360381 32.174040 25.846626
cassandra-2.1.20 10483579 33.589822 27.727953
cassandra-2.1.21 10488666 33.596014 27.736293
cassandra-2.1.22 10491115 33.598995 27.740308
cassandra-2.1.3 9549412 32.419416 26.169015
cassandra-2.1.4 9552900 32.423915 26.174942
cassandra-2.1.5 9786571 32.723042 26.570076
cassandra-2.1.6 9880437 32.841955 26.727792
cassandra-2.1.7 9895014 32.860359 26.752234
cassandra-2.1.8 10050435 33.055544 27.011984
