release_tag no_classes
cassandra-0.3.0-final 490
cassandra-0.4.0-final 387
cassandra-0.4.1 387
cassandra-0.4.2 388
cassandra-0.5.0 428
cassandra-0.5.1 432
cassandra-0.6.0 462
cassandra-0.6.1 464
cassandra-0.6.10 475
cassandra-0.6.11 475
cassandra-0.6.12 475
cassandra-0.6.13 475
cassandra-0.6.2 468
cassandra-0.6.3 472
cassandra-0.6.4 469
cassandra-0.6.5 475
cassandra-0.6.6 475
cassandra-0.6.7 475
cassandra-0.6.8 475
cassandra-0.6.9 475
cassandra-0.7.0 672
cassandra-0.7.1 708
cassandra-0.7.10 724
cassandra-0.7.2 710
cassandra-0.7.3 720
cassandra-0.7.4 723
cassandra-0.7.5 723
cassandra-0.7.6 723
cassandra-0.7.7 725
cassandra-0.7.8 725
cassandra-0.7.9 724
cassandra-0.8.0 819
cassandra-0.8.1 828
cassandra-0.8.10 844
cassandra-0.8.2 833
cassandra-0.8.3 843
cassandra-0.8.4 843
cassandra-0.8.5 845
cassandra-0.8.6 845
cassandra-0.8.7 846
cassandra-0.8.8 844
cassandra-0.8.9 844
cassandra-1.0.0 932
cassandra-1.0.1 934
cassandra-1.0.10 924
cassandra-1.0.11 927
cassandra-1.0.12 927
cassandra-1.0.2 937
cassandra-1.0.3 937
cassandra-1.0.4 937
cassandra-1.0.5 937
cassandra-1.0.6 922
cassandra-1.0.7 922
cassandra-1.0.8 923
cassandra-1.0.9 923
cassandra-1.1.0 1001
cassandra-1.1.1 1022
cassandra-1.1.10 1053
cassandra-1.1.11 1058
cassandra-1.1.12 1058
cassandra-1.1.2 1029
cassandra-1.1.3 1037
cassandra-1.1.4 1037
cassandra-1.1.5 1038
cassandra-1.1.6 1047
cassandra-1.1.7 1049
cassandra-1.1.8 1049
cassandra-1.1.9 1053
cassandra-1.2.0 1274
cassandra-1.2.1 1278
cassandra-1.2.10 1368
cassandra-1.2.11 1378
cassandra-1.2.12 1381
cassandra-1.2.13 1385
cassandra-1.2.14 1388
cassandra-1.2.15 1388
cassandra-1.2.16 1388
cassandra-1.2.17 1399
cassandra-1.2.18 1399
cassandra-1.2.19 1393
cassandra-1.2.2 1320
cassandra-1.2.3 1326
cassandra-1.2.4 1329
cassandra-1.2.5 1335
cassandra-1.2.6 1352
cassandra-1.2.7 1360
cassandra-1.2.8 1360
cassandra-1.2.9 1365
cassandra-2.0.0 1941
cassandra-2.0.1 1962
cassandra-2.0.10 2075
cassandra-2.0.11 2088
cassandra-2.0.12 2096
cassandra-2.0.13 2099
cassandra-2.0.14 2100
cassandra-2.0.15 2108
cassandra-2.0.16 2112
cassandra-2.0.17 2120
cassandra-2.0.2 1979
cassandra-2.0.3 1990
cassandra-2.0.4 2003
cassandra-2.0.5 2013
cassandra-2.0.6 2022
cassandra-2.0.7 2038
cassandra-2.0.8 2059
cassandra-2.0.9 2073
cassandra-2.1.0 2441
cassandra-2.1.1 2499
cassandra-2.1.10 2619
cassandra-2.1.11 2620
cassandra-2.1.12 2628
cassandra-2.1.13 2634
cassandra-2.1.14 2638
cassandra-2.1.15 2643
cassandra-2.1.16 2647
cassandra-2.1.17 2648
cassandra-2.1.18 2648
cassandra-2.1.19 2648
cassandra-2.1.2 2513
cassandra-2.1.20 2651
cassandra-2.1.21 2652
cassandra-2.1.22 2653
cassandra-2.1.3 2546
cassandra-2.1.4 2547
cassandra-2.1.5 2580
cassandra-2.1.6 2593
cassandra-2.1.7 2595
cassandra-2.1.8 2605
cassandra-2.1.9 2614
cassandra-2.2.0 2777
cassandra-2.2.1 2787
cassandra-2.2.10 2848
cassandra-2.2.11 2858
cassandra-2.2.12 2864
cassandra-2.2.13 2866
cassandra-2.2.14 2889
cassandra-2.2.15 2909
cassandra-2.2.16 2921
cassandra-2.2.17 2923
cassandra-2.2.18 2925
cassandra-2.2.19 2943
cassandra-2.2.2 2796
cassandra-2.2.3 2797
cassandra-2.2.4 2810
cassandra-2.2.5 2827
cassandra-2.2.6 2832
cassandra-2.2.7 2837
cassandra-2.2.8 2843
cassandra-2.2.9 2848
cassandra-3.0.0 3097
cassandra-3.0.1 3109
cassandra-3.0.10 3181
cassandra-3.0.11 3195
cassandra-3.0.12 3200
cassandra-3.0.13 3201
cassandra-3.0.14 3205
cassandra-3.0.15 3241
cassandra-3.0.16 3260
cassandra-3.0.17 3279
cassandra-3.0.18 3309
cassandra-3.0.19 3351
cassandra-3.0.2 3109
cassandra-3.0.20 3366
cassandra-3.0.21 3383
cassandra-3.0.22 3394
cassandra-3.0.23 3414
cassandra-3.0.24 3424
cassandra-3.0.3 3135
cassandra-3.0.4 3142
cassandra-3.0.5 3155
cassandra-3.0.6 3156
cassandra-3.0.7 3160
cassandra-3.0.8 3164
cassandra-3.0.9 3175
cassandra-3.1 3109
cassandra-3.1.1 3109
cassandra-3.10 3654
cassandra-3.11.0 3673
cassandra-3.11.1 3711
cassandra-3.11.10 3923
cassandra-3.11.2 3735
cassandra-3.11.3 3752
cassandra-3.11.4 3782
cassandra-3.11.5 3825
cassandra-3.11.6 3848
cassandra-3.11.7 3865
cassandra-3.11.8 3882
cassandra-3.11.9 3910
cassandra-3.2 3173
cassandra-3.2.1 3173
cassandra-3.3 3185
cassandra-3.4 3379
cassandra-3.5 3397
cassandra-3.6 3470
cassandra-3.7 3474
cassandra-3.8 3516
cassandra-3.9 3516
